date,nb_views,nb_votes
2008-07-05,58921,135
2008-07-06,,
2008-07-07,,
2008-07-08,,
2008-07-09,,
2008-07-10,30817,83
2008-07-11,,
2008-07-12,,
2008-07-13,,
2008-07-14,,
2008-07-15,,
2008-07-16,101760,228
2008-07-17,,
2008-07-18,,
2008-07-19,86519,95
2008-07-20,,
2008-07-21,,
2008-07-22,234510,548
2008-07-23,,
2008-07-24,,
2008-07-25,213127,306
2008-07-26,,
2008-07-27,,
2008-07-28,678296,2637
2008-07-29,451978,1925
2008-07-30,,
2008-07-31,,
2008-08-01,928619,1981
2008-08-02,,
2008-08-03,340082,1758
2008-08-04,18674,80
2008-08-05,,
2008-08-06,,
2008-08-07,,
2008-08-08,,
2008-08-09,,
2008-08-10,,
2008-08-11,23261,45
2008-08-12,,
2008-08-13,,
2008-08-14,,
2008-08-15,,
2008-08-16,,
2008-08-17,48442,150
2008-08-18,1141580,1341
2008-08-19,,
2008-08-20,299810,710
2008-08-21,,
2008-08-22,20236,49
2008-08-23,9529,26
2008-08-24,100436,144
2008-08-25,75155,175
2008-08-26,,
2008-08-27,56941,107
2008-08-28,218465,388
2008-08-29,123329,579
2008-08-30,20905,49
2008-08-31,,
2008-09-01,386122,586
2008-09-02,44168,150
2008-09-03,,
2008-09-04,420700,537
2008-09-05,279434,504
2008-09-06,,
2008-09-07,,
2008-09-08,,
2008-09-09,,
2008-09-10,34095,66
2008-09-11,125887,299
2008-09-12,8604,28
2008-09-13,617465,1136
2008-09-14,,
2008-09-15,110560,164
2008-09-16,,
2008-09-17,,
2008-09-18,,
2008-09-19,,
2008-09-20,,
2008-09-21,,
2008-09-22,,
2008-09-23,236023,319
2008-09-24,,
2008-09-25,,
2008-09-26,,
2008-09-27,,
2008-09-28,,
2008-09-29,,
2008-09-30,141612,223
2008-10-01,128553,272
2008-10-02,,
2008-10-03,110842,221
2008-10-04,,
2008-10-05,,
2008-10-06,141360,308
2008-10-07,,
2008-10-08,9041,38
2008-10-09,,
2008-10-10,,
2008-10-11,,
2008-10-12,,
2008-10-13,,
2008-10-14,,
2008-10-15,,
2008-10-16,,
2008-10-17,99262,530
2008-10-18,258864,508
2008-10-19,,
2008-10-20,,
2008-10-21,,
2008-10-22,,
2008-10-23,,
2008-10-24,1191080,1810
2008-10-25,,
2008-10-26,,
2008-10-27,,
2008-10-28,,
2008-10-29,27961,52
2008-10-30,,
2008-10-31,30020,98
2008-11-01,,
2008-11-02,,
2008-11-03,77787,212
2008-11-04,,
2008-11-05,,
2008-11-06,,
2008-11-07,,
2008-11-08,19883,49
2008-11-09,,
2008-11-10,,
2008-11-11,84079,204
2008-11-12,,
2008-11-13,73215,172
2008-11-14,875982,1990
2008-11-15,,
2008-11-16,,
2008-11-17,,
2008-11-18,,
2008-11-19,204671,634
2008-11-20,,
2008-11-21,,
2008-11-22,,
2008-11-23,,
2008-11-24,,
2008-11-25,,
2008-11-26,,
2008-11-27,,
2008-11-28,561904,647
2008-11-29,,
2008-11-30,251839,503
2008-12-01,,
2008-12-02,,
2008-12-03,,
2008-12-04,,
2008-12-05,,
2008-12-06,23309,45
2008-12-07,,
2008-12-08,,
2008-12-09,,
2008-12-10,,
2008-12-11,,
2008-12-12,,
2008-12-13,,
2008-12-14,,
2008-12-15,1270908,2262
2008-12-16,,
2008-12-17,,
2008-12-18,,
2008-12-19,,
2008-12-20,,
2008-12-21,315683,497
2008-12-22,,
2008-12-23,,
2008-12-24,,
2008-12-25,44137,407
2008-12-26,13283,54
2008-12-27,,
2008-12-28,,
2008-12-29,,
2008-12-30,34001,109
2008-12-31,,
2009-01-01,,
2009-01-02,236185,348
2009-01-03,127917,303
2009-01-04,77283,143
2009-01-05,288434,753
2009-01-06,,
2009-01-07,,
2009-01-08,,
2009-01-09,,
2009-01-10,,
2009-01-11,,
2009-01-12,167605,580
2009-01-13,,
2009-01-14,,
2009-01-15,,
2009-01-16,,
2009-01-17,,
2009-01-18,244354,416
2009-01-19,,
2009-01-20,,
2009-01-21,,
2009-01-22,80522,201
2009-01-23,,
2009-01-24,,
2009-01-25,,
2009-01-26,,
2009-01-27,,
2009-01-28,,
2009-01-29,195560,313
2009-01-30,,
2009-01-31,25054,76
2009-02-01,112940,124
2009-02-02,,
2009-02-03,,
2009-02-04,,
2009-02-05,,
2009-02-06,1461778,2784
2009-02-07,36029,43
2009-02-08,,
2009-02-09,30925,50
2009-02-10,,
2009-02-11,,
2009-02-12,160970,414
2009-02-13,169981,400
2009-02-14,123302,113
